Entity,Code,Year,Total alcohol consumption per capita,"GDP per capita, PPP",Population
Afghanistan,AFG,2015.0,0.21,2068.26590413364,34413603.0
Africa Eastern and Southern,,2015.0,5.20056532810539,3549.48056329573,
Africa Western and Central,,2015.0,6.86946773276474,4202.05792297522,
Albania,ALB,2015.0,6.74,11878.4880933446,2890524.0
Algeria,DZA,2015.0,0.93,11696.9652290603,39728020.0
Angola,AGO,2015.0,7.96,8036.41089824639,27884380.0
Antigua and Barbuda,ATG,2015.0,5.89,18594.2616238259,93571.0
Arab World,,2015.0,0.62749978317945,14411.2623782103,
Argentina,ARG,2015.0,9.55,23933.8866120953,43075416.0
Armenia,ARM,2015.0,5.84,11321.3325403745,2925559.0
Australia,AUS,2015.0,10.83,47636.319641906,23932499.0
Austria,AUT,2015.0,12.07,52798.0994607541,8678667.0
Azerbaijan,AZE,2015.0,4.58,14853.9105525729,9622741.0
Bahamas,BHS,2015.0,4.55,35400.6494660106,374200.0
Bahrain,BHR,2015.0,1.3,48110.7341930587,1371853.0
Bangladesh,BGD,2015.0,0.021,3700.11082057504,156256287.0
Barbados,BRB,2015.0,9.33,15382.7656890531,285327.0
Belarus,BLR,2015.0,12.0,18307.5196678406,9439424.0
Belgium,BEL,2015.0,11.82,49455.4413365318,11287931.0
Belize,BLZ,2015.0,6.74,7358.58229184617,360926.0
Benin,BEN,2015.0,2.97,2945.97022066349,10575962.0
Bhutan,BTN,2015.0,0.42,10086.0727954667,727885.0
Bolivia,BOL,2015.0,4.64,7984.41198272424,10869732.0
Bosnia and Herzegovina,BIH,2015.0,6.92,12630.6623426277,3429362.0
Botswana,BWA,2015.0,6.86,16714.3978216526,2120716.0
Brazil,BRA,2015.0,7.86,15064.1760689478,204471759.0
Brunei,BRN,2015.0,0.46,63147.4834900843,414914.0
Bulgaria,BGR,2015.0,12.34,19620.1539761978,7199739.0
Burkina Faso,BFA,2015.0,11.83,1925.33207544524,18110616.0
Burundi,BDI,2015.0,7.03,825.20566069269,10160034.0
Cambodia,KHM,2015.0,6.37,3546.33938731031,15521435.0
Cameroon,CMR,2015.0,6.17,3458.69271277942,23298376.0
Canada,CAN,2015.0,8.88,47522.1406673151,36026668.0
Cape Verde,CPV,2015.0,5.95,6266.88177858088,524740.0
Caribbean Small States,,2015.0,5.85744802289462,16104.367027522,
Central African Republic,CAF,2015.0,2.43,852.749236638592,4493171.0
Central Europe and the Baltics,,2015.0,11.992929261355,27440.9483279594,
Chad,TCD,2015.0,1.45,1857.10786365964,14110971.0
Chile,CHL,2015.0,9.26,24440.4152640857,17969356.0
China,CHN,2015.0,7.15,12691.8215526921,1406847868.0
Colombia,COL,2015.0,5.78,14095.748356648,47520667.0
Comoros,COM,2015.0,0.88,2959.49809656739,777435.0
Congo,COG,2015.0,7.9,5227.93427667066,4856093.0
Costa Rica,CRI,2015.0,4.76,19141.6830724515,4847805.0
Cote d'Ivoire,CIV,2015.0,2.61,4417.15021465621,23226148.0
Croatia,HRV,2015.0,9.07,24562.453617545,4232874.0
Cyprus,CYP,2015.0,10.76,34472.2985065115,1160987.0
Czechia,CZE,2015.0,14.25,36168.4185553861,10601390.0
Democratic Republic of Congo,COD,2015.0,2.05,1065.24257721582,76244532.0
Denmark,DNK,2015.0,10.36,52892.6460290247,5688695.0
Djibouti,DJI,2015.0,0.49,4488.80265798112,913998.0
Dominica,DMA,2015.0,11.32,11873.7418376836,71175.0
Dominican Republic,DOM,2015.0,6.61,15328.3595089817,10281675.0
Early-demographic dividend,,2015.0,3.90981086836428,8518.31158773067,
East Asia & Pacific,,2015.0,6.472068347718,14971.1892835517,
East Asia & Pacific (IDA & IBRD),,2015.0,6.26217364405682,11747.6299566243,
East Asia & Pacific (excluding high income),,2015.0,6.23202231175478,11624.3875596259,
Ecuador,ECU,2015.0,4.98,11896.3751614302,16212022.0
Egypt,EGY,2015.0,0.4,10570.4452319757,92442549.0
El Salvador,SLV,2015.0,3.59,8143.22444194766,6325121.0
Equatorial Guinea,GNQ,2015.0,9.08,28313.4331590396,1168575.0
Estonia,EST,2015.0,12.39,31146.7545222679,1315330.0
Eswatini,SWZ,2015.0,9.84,8304.65845837116,1104038.0
Ethiopia,ETH,2015.0,2.19,1779.0841114169,100835453.0
Euro area,,2015.0,11.3256923377699,43835.8523122617,
Europe & Central Asia,,2015.0,10.0870948530615,32681.3551533745,
Europe & Central Asia (IDA & IBRD),,2015.0,8.80951672986014,20875.9042185113,
Europe & Central Asia (excluding high income),,2015.0,8.52554792507051,20197.0479835965,
European Union,,2015.0,11.3770912930769,40730.9865557774,
Fiji,FJI,2015.0,3.33,12569.1431129142,868632.0
Finland,FIN,2015.0,11.18,45072.5902146238,5481128.0
France,FRA,2015.0,12.64,43345.7864281559,64453194.0
Gabon,GAB,2015.0,9.57,15510.0389513624,1947690.0
Gambia,GMB,2015.0,3.67,2058.65814621739,2085860.0
Georgia,GEO,2015.0,9.61,12605.1400698178,4024180.0
Germany,DEU,2015.0,13.06,51083.9216615196,81787411.0
Ghana,GHA,2015.0,3.12,4662.30319092518,27849203.0
Greece,GRC,2015.0,10.49,28248.1259561464,10659737.0
Grenada,GRD,2015.0,9.07,15142.06257045,109603.0
Guatemala,GTM,2015.0,2.55,8125.65553391647,16252425.0
Guinea,GIN,2015.0,1.07,2087.93502637033,11432096.0
Guinea-Bissau,GNB,2015.0,5.05,1800.06338150248,1737207.0
Guyana,GUY,2015.0,7.35,11261.8137066367,767433.0
Haiti,HTI,2015.0,2.69,2941.81608076667,10695540.0
