Entity,Code,Year,Total alcohol consumption per capita,"GDP per capita, PPP",Population,Continent
Afghanistan,AFG,2010.0,0.21,1957.02906990812,29185511.0,
Afghanistan,AFG,2015.0,0.21,2068.26590413364,34413603.0,Asia
Afghanistan,AFG,2018.0,0.21,2033.80438893717,37171922.0,
Africa Eastern and Southern,,2000.0,5.01405101620239,2654.76790045922,,
Africa Eastern and Southern,,2005.0,4.85658757955692,2901.69026290011,,
Africa Eastern and Southern,,2010.0,5.41711484465685,3273.44736967583,,
Africa Eastern and Southern,,2015.0,5.20056532810539,3549.48056329573,,
Africa Eastern and Southern,,2018.0,5.17091073003006,3579.27191657852,,
Africa Western and Central,,2000.0,8.09247351428025,2676.80640762878,,
Africa Western and Central,,2005.0,7.81397214441222,3254.02283869136,,
Africa Western and Central,,2010.0,7.49486405295652,3773.01146069906,,
Africa Western and Central,,2015.0,6.86946773276474,4202.05792297522,,
Africa Western and Central,,2018.0,6.83526606216979,4115.2358007738,,
Albania,ALB,2000.0,6.57,5893.13623256329,3129246.0,
Albania,ALB,2005.0,7.65,8040.87871678112,3086810.0,
Albania,ALB,2010.0,7.69,10749.4874481658,2948029.0,
Albania,ALB,2015.0,6.74,11878.4880933446,2890524.0,Europe
Albania,ALB,2018.0,7.17,13323.7533559132,2882735.0,
Algeria,DZA,2000.0,0.58,8710.45514928455,31042238.0,
Algeria,DZA,2005.0,0.81,10504.8584676293,33149720.0,
Algeria,DZA,2010.0,0.65,10970.7063686682,35977451.0,
Algeria,DZA,2015.0,0.93,11696.9652290603,39728020.0,Africa
Algeria,DZA,2018.0,0.95,11642.1983450506,42228415.0,
Angola,AGO,2000.0,2.76,4727.96631394756,16395476.0,
Angola,AGO,2005.0,4.89,6210.2221878264,19433604.0,
Angola,AGO,2010.0,8.16,7692.43428623311,23356247.0,
Angola,AGO,2015.0,7.96,8036.41089824639,27884380.0,Africa
Angola,AGO,2018.0,6.94,6933.49993413352,30809787.0,
Antigua and Barbuda,ATG,2000.0,5.13,18313.3497055005,76007.0,
Antigua and Barbuda,ATG,2005.0,5.37,19683.5410828179,81462.0,
Antigua and Barbuda,ATG,2010.0,5.6,18205.7385326292,88030.0,
Antigua and Barbuda,ATG,2015.0,5.89,18594.2616238259,93571.0,North America
Antigua and Barbuda,ATG,2018.0,6.38,21030.3950717884,96282.0,
Arab World,,2000.0,0.672858248998622,10994.0890907165,,
Arab World,,2005.0,0.648096046363296,12083.4295343917,,
Arab World,,2010.0,0.64622786021936,13275.3204053535,,
Arab World,,2015.0,0.62749978317945,14411.2623782103,,
Arab World,,2018.0,0.618598081987902,14608.9742464222,,
Argentina,ARG,2000.0,8.75,18625.2835537811,36870796.0,
Argentina,ARG,2005.0,8.66,19426.4401434847,38892924.0,
Argentina,ARG,2010.0,9.09,23521.2701750961,40895751.0,
Argentina,ARG,2015.0,9.55,23933.8866120953,43075416.0,South America
Argentina,ARG,2018.0,9.65,22759.3985583341,44361150.0,
Armenia,ARM,2000.0,4.23,4048.24990407114,3069597.0,
Armenia,ARM,2005.0,5.79,7419.87119017403,2981262.0,
Armenia,ARM,2010.0,5.69,9286.19732701296,2877314.0,
Armenia,ARM,2015.0,5.84,11321.3325403745,2925559.0,Asia
Armenia,ARM,2018.0,5.55,12715.1089539751,2951741.0,
Australia,AUS,2000.0,11.72,38343.002147534,18991434.0,
Australia,AUS,2005.0,12.08,42217.136349705,20178543.0,
